丢三落四|形容做事马虎粗心，不是丢了这个，就是忘了那个。
国士无双|国士：国中杰出的人物。指一国独一无二的人才。
蜂附云集|比喻人众从各处聚集。
无以塞责|自谦之语。无法弥补自己应负的责任。
无关大体|比喻没有多大关系。
戟指嚼舌|戟指：伸出食指、中指指人；嚼舌：咬破舌头。形容愤怒之极。
拽巷攞街|指大声呼叫，惊动街坊。
被发文身|被发：散发；文身：身上刺花纹。原指古代吴越一代的风俗。后也用以泛指未开化地带的风俗。
平步青云|平：平稳；步：行走；青云：高空。指人一下子升到很高的地位上去。
触类而长|意指掌握一类事物知识或规律，就能据此而增长同类事物知识。
耳闻是虚，眼观为实|亲自听到的还不足为信，只有亲眼看到的才是真实可靠的。
市井之臣|市井：古时称做买卖的地方。旧指城市里的老百姓。
拔树搜根|比喻追究到底，彻底查问。
家弦户诵|家家都不断歌诵。形容有功德的人，人人怀念。也形容诗文流传很广。
分茅胙土|指分封侯位和土地。
三老四少|①老少众人。②方言。称参加青帮的人。犹言老少爷们或兄弟爷们。
餐霞饮景|餐食日霞，吞饮日光。指超尘脱俗，修炼成仙。
神来之笔|由神灵帮助而写出的作品。形容作品文句精彩。
后人乘凉|比喻前人为后人造福。
观貌察色|观察脸色以揣测对方的心意。
爱之欲其生，恶之欲其死|喜爱他时，总想叫他活着；讨厌他时，总想叫他死掉。指极度地凭个人爱憎对待人。
迭嶂层峦|嶂：形势高险像屏障的山。层：重。峦：就是连着的山。形容山峦重叠，连绵不断。
才高八斗|才：才华。比喻人极有才华。
书同文|车轨相同，文字相同。比喻国家统一。
心瞻魏阙|指臣民心在朝廷，关心国事。同“心在魏阙”。
弄虚作假|耍花招欺骗人。
出人意料|出乎人们意料之外。
惊魂未定|指受惊后心情还没有平静下来。
雄鸡夜鸣|古代认为雄鸡夜鸣为异常现象，预兆战事。
堤溃蚁孔|堤坝因蚂蚁洞而崩溃。比喻忽视小处会酿成大祸。
吟风咏月|旧指文人写作或朗诵以风月等自然景色为题材的作品。现多形容作品空虚无聊。
沉吟章句|沉吟：沉思吟味。章句：章节和句子，亦指诗文。默默地琢磨构思诗文。
不辞劳苦|辞：推托；劳苦：劳累辛苦。不逃避劳累辛苦。形容人不怕吃苦，毅力强。
近火先焦|比喻跟祸事最接近的人首先遭殃。
恶有恶报|做坏事的人会得到不好的报应。指因办坏事而自食其果。
私相授受|授：给予；受：接受。指不是公开的给予和接受。
安家立业|安置家庭，创立基业或事业。也指长期在一个地方劳动和生活。
深山穷谷|与山外距离远、人迹罕至的山岭、山谷。
萧规曹随|萧何创立了规章制度，死后，曹参做了宰相，仍照着实行。比喻按照前任的成规办事。
连阡累陌|形容田多。
热火朝天|形容群众性的活动情绪热烈，气氛高涨，就象炽热的火焰照天燃烧一样。
飞鹰走狗|放出鹰狗去追捕野兽。指打猎游荡的生活。
置若罔闻|置：放，摆；若：好象。放在一边，好象没有听见似的。指不予理睬。
言行相副|说的和做的相符合。同“言行相符”。
言行信果|说了就一定守信用，做事一定办到。同“言必信，行必果”。
丧尽天良|丧：丧失；天良：良心。没有一点良心。形容恶毒到了极点。
人心叵测|叵：不可。人的心地不可探测。形容人心险恶。
酒后茶余|指随意消遣的空闲时间。
风尘之变|风尘：比喻战乱。指战争的灾乱。
支分节解|把肢体与关节一一分开。节，关节。比喻剖析义理，详尽中肯。亦作“支分族解”。
缄口不言|缄：封闭。封住嘴巴，不开口说话。
祝发空门|指削发出家为僧尼。
才貌双全|才学相貌都好。
狗马声色|良犬、骏马、音乐、女色。泛指养狗、骑马、听歌、狎妓等剥削阶级行乐的方式。借指穷奢极侈的享乐。
遐迩一体|指远近犹如一个整体。形容协调统一。
正大堂皇|犹言堂堂正正。同“正大堂煌”。
断杼择邻|孟母为了教育孟子不要中途荒废学业，用被割断的纱不成布来做比喻；孟母三迁居处，选择良好的环境，来影响孟子的成长。
凤翥鸾翔|像凤凰高飞。比喻女子婚姻美满得意。
晚节不保|晚节：指晚年的节操。已经到了晚年却未能保住自己的节操。也指事情快成功的时候却失败了。
哓哓不休|哓哓：争辩声；休：停止，完。形容争辩个没完。
坚如磐石|坚：坚固，结实；磐：大石头。象大石头一样坚固。比喻不可动摇。
本固邦宁|指人民安居乐业则国家太平。
礼顺人情|指礼是顺乎人之常情，人与人共处必须遵守的规范。
艰难困苦|形容处境艰苦，困难重重。
死求白赖|指不停地纠缠。
悲愤填膺|膺：胸。悲痛和愤怒充满胸中。
狗苟蝇营|比喻为了名利不择手段，象苍蝇一样飞来飞去，象狗一样不知羞耻。
他乡故知|故知：老朋友，熟人。在异地遇到老朋友或熟人。
绠短汲深|绠：汲水用的绳子；汲：从井里打水。吊桶的绳子短，打不了深井里的水。比喻能力薄弱，难以担任艰巨的任务。
腼颜事敌|厚着脸皮替敌人工作，不知羞耻。
至大至刚|至：最，极。极其正大、刚强。
六尺之孤|六尺：古代尺短，“六尺”形容个子未长高；孤：死去父亲的小孩。指没有成年的孤儿。
移气养体|改变气质和保养身体。
棋输先著|指因被对方占了先手而输了棋。比喻功力稍逊于对方。
琴棋书画|弹琴、弈棋、写字、绘画。常以表示个人的文化素养。
锱铢必较|锱、铢：都是古代很小的重量单位。形容非常小气，很少的钱也一定要计较。也比喻气量狭小，很小的事也要计较...
不成体统|体统：格局，规矩。指言行没有规矩，不成样子。
城门鱼殃|城门失火，大家都到护城河取水，水用完了，鱼也死了。比喻因受连累而遭到损失或祸害。
魂惊魄落|形容极度惊恐。
衰当益壮|犹老当益壮。
有名无实|光有空名，实际上并不是那样。
揣时度力|揣度形势，估量自己的能力。
坚甲利刃|形容精锐的部队。同“坚甲利兵”。
韩寿偷香|比喻男女暗中通情。
布衣粝食|形容生活清苦。同“布衣蔬食”。
苦尽甘来|甘：甜，比喻幸福。艰难的日子过完，美好的日子来到了。
情不可却|情面上不能推却。
纵横开合|指操纵自如。同“纵横开阖”。
犯而不校|犯：触犯；校：计较。受到别人的触犯或无礼也不计较。
舍本逐末|舍：舍弃；逐：追求。抛弃根本的、主要的，而去追求枝节的、次要的。比喻不抓根本环节，而只在枝节问题上下功夫。
文理俱惬|文、理：指文辞表达和思想内容；惬：满足、满意。文章的形式和内容都令人满意。
六亲不认|形容不重天伦，不通人情，对亲属都不顾。有时也指对谁都不讲情面。
绳墨之言|可以作为准绳、合乎道德圣智的言论。
寸有所长|寸比尺短，但用于更短处即显其长。比喻平平常常的人或事物，也会有他的长处。
坚忍不拔|形容在艰苦困难的情况下意志坚定，毫不动摇。
盛水不漏|比喻说理严密。
娉婷婀娜|①形容女子姿态柔美。②借指美人。
比肩皆是|到处都是。形容同类的事物或情况很多。
出丑扬疾|暴露丑恶。
混俗和光|同于尘俗，不露锋芒。指不求特异，与世无争。
殒身不恤|殒：牺牲；恤：顾惜。牺牲生命也不顾惜。
兰芝常生|兰芝：兰草和灵芝草。比喻高尚的美德长在。
亚肩迭背|肩压肩，背挨背。形容人多拥挤。
计功补过|计：考定；失：过失。考定一个人的功绩以弥补其过失。
乖僻邪谬|乖：乖张，不顺；僻：孤僻。指性格古怪孤僻，不近人情。
巫山云雨|原指古代神话传说巫山神女兴云降雨的事。后称男女欢合。
一身两役|一个人做两件事。
庖丁解牛|庖丁：厨工；解：肢解分割。比喻经过反复实践，掌握了事物的客观规律，做事得心应手，运用自如。
模山范水|用文字或图画描绘山水景物。
生荣死哀|活着受人尊敬，死了使人哀痛。用以赞誉受人崇敬的死者。
光明正大|原指明白不偏邪。现多指心怀坦白，言行正派。
改姓更名|改换原来的姓名。多指为了隐瞒原来的身分。同“改名换姓”。
战无不克|攻战没有不取胜的。形容强大无比，可以战胜一切。
日月经天|日月每天都经过天空。比喻光明正大，历久不衰。
黄天焦日|犹大天白日。指白天。
欺上罔下|对上欺骗，博取信任；对下隐瞒，掩盖真相。
冗词赘句|冗：繁杂；赘：多余无用的。指诗文中多余无用的话。
心平气和|心情平静，态度温和。指不急躁，不生气。
奉公克己|指严以律己，一心为公。
哀哀欲绝|哀哀：极度悲哀；绝：断气，死。形容极其悲痛。
无所措手|形容没有办法，不知如何是好。同“无所错手足”。
皇天不负有心人|上天不会辜负有恒心的人。
念念有词|念念：连续不断地念叨。旧指和尚念经，现指低声自语或含糊不清地说个不停。
出丑放乖|犹言出乖露丑。
胸无城府|城府：城市和官署，比喻难于揣测的深远用心。形容待人接物坦率真诚，心口如一。
惊心褫魄|形容十分恐惧。同“惊心丧魄”。
负驽前驱|背着弓箭在前面开道。比喻迎接的礼度极为尊敬。
切中要害|指批评恰到事物的紧要处。
斐然向风|翩然地闻风归向。
天外飞来|天外：意料不到的地方。后指事情出乎意料地发生，凭空而来。
视财如命|形容人的吝啬，把钱财看得有如生命一般。
一面之辞|争执的双方中一方所说的话。指单方面的话，版面的看法。
义海恩山|情深似海，恩重如山。喻恩情道义深厚。
抚掌大笑|抚：拍。拍手大笑。形容非常高兴。
感旧之哀|感念旧人旧事的哀叹。表示怀旧。
床下牛斗|听到床下蚂蚁动，误以为牛在相斗。形容体衰耳聪，极度过敏。
诗朋酒侣|侣：伴侣，同伴。作诗饮酒的朋友。同“诗朋酒友”。
别类分门|按一定标准分成门类。参见“分门别类”。
岳岳磊磊|卓立不群。
闻所不闻|听到从未听到过的。形容事物非常希罕。
轻而易举|形容事情容易做，不费力气。
径行直遂|随心愿行事而顺利达到目的。
矫枉过直|比喻纠正错误超过了应有的限度。同“矫枉过正”。
行行出状元|比喻不论干哪一行，只要热爱本职工作，都能做出优异的成绩。
雕肝琢膂|比喻写作的刻意锤炼。同“雕肝琢肾”。
慈眉善目|形容人的容貌一副善良的样子。
涣若冰释|犹言涣然冰释。形容疑虑、误会、隔阂等完全消除。
一隅之见|见：见解。偏于一方面的见解。
参透机关|参：检验，察看。机关：阴谋或秘密所在。看透了阴谋和秘密。
拉拉扯扯|以手牵牵拉拉。借指拉扯私欲关系。
东市朝衣|为朝臣被杀之典。
对症下药|针对病症用药。比喻针对事物的问题所在，采取有效的措施。
熊经鸟申|古代一种导引养生之法。状如熊之攀枝，鸟之伸脚。
结绳而治|原指上古没有文字，用结绳记事的方法治理天下。后也指社会清平，不用法律治国的空想。
养精蓄锐|养：保养；精：精神；蓄：积蓄；锐：锐气。保养精神，蓄集力量。
宾来如归|宾客来此如归其家。形容招待客人热情周到。
眼穿肠断|眼穿：望眼欲穿。眼欲望穿，肠欲盼断。形容盼望、相思之极。
牛头不对马面|比喻答非所问或对不上号。
柴米夫妻|为柴米的需要而结合的夫妻。指物质生活条件低微的贫贱夫妻。
河同水密|比喻彼此关系密切。
波光鳞鳞|形容波光像鱼鳞一样层层排列。
淡然处之|淡然：不经心，不在意；处：处理，对待。以漫不经心的态度对待事物。
绣花枕头|比喻徒有外表而无学识才能的人。
目眩神摇|眼花缭乱，心神摇荡。多形容所见情景令人惊异。
麟趾呈祥|旧时用于贺人生子。
家见户说|每家每户都知道。
出没无常|忽而出现，忽而隐没，没有一定，使人无法捉摸。
人心大快|快：痛快。指坏人坏事受到惩罚或打击，使大家非常痛快。
穷奢极侈|穷：极；奢、侈：奢侈。极端奢侈，尽量享受。形容挥霍浪费，荒淫腐化。
入文出武|称人兼备文武之才，入朝为文臣，出朝为将帅。
诡雅异俗|和雅正相背，与常俗相违。谓异端邪说。
生而知之|生下来就懂得知识和道理。这是唯心主义者的观点。
加枝添叶|在叙事或转述时，于主要事件外，添上原来没有的内容。
不变其文|比喻无论形式上怎样变化，实质还是一样。
将伯之助|将：请求；伯：长者。请求长者帮助。指别人对自己的帮助。
高情远韵|高尚的品格或情趣。同“高情远致”。
无父无君|孟轲斥责墨翟、杨朱之语。后以讥刺无伦常者。
投鞭断流|把所有的马鞭投到江里，就能截断水流。比喻人马众多，兵力强大。
意料之外|没有想到的。
精疲力竭|竭：尽。精神、力气消耗已尽。形容非常疲劳。
趁风使柁|犹看风使舵。比喻随机应变或迎合别人行事。
郢匠挥斤|比喻纯熟、高超的技艺。
腹心相照|腹心：内心；照：映照，见。以真心相见。比喻彼此很知心，达到心心相印的程度。
浑金璞玉|比喻天然美质，未加修饰。多用来形容人的品质淳朴善良。
孳孳矻矻|孳孳：勤勉的；矻矻：辛勤劳作的样子。勤勉不懈的样子。
一丝半粟|比喻极微小的东西。
门庭如市|门：家门；庭：庭院；如：像；市：集市。门前像市场一样。形容来的人很多。
参前倚衡|意指言行要讲究忠信笃敬，站着就仿佛看见“忠信笃敬”四字展现于眼前，乘车就好象看见这几个字在车辕的横木上。泛指一举一动，一。
放冷箭|乘人不备，放箭伤人。比喻暗中伤人。冷箭：暗箭。
多多益善|益：更加。越多越好。
三江五湖|①指东南方的三条江与太湖流域一带的湖泊。②江河湖泊的泛称。
排难解纷|原指为人排除危难，解决纠纷。今指调停双方争执。
植党自私|谓拉帮结派以谋求私利。同“植党营私”。
二缶钟惑|二：疑，不明确；缶、钟：指古代量器。弄不清缶与钟的容量。比喻弄不清普通的是非道理。
侈侈不休|说话没完没了；唠叨。
仁者见仁，智者见智|仁者见它说是仁，智者见它说是智。比喻对同一个问题，不同的人从不同的立场或角度有不同的看法。
急流勇进|在急流中勇敢前进，形容果断、勇猛，一往无前。
骖风驷霞|指仙道者云游四方。
深文大义|指深奥的大道理。
迁善去恶|犹言向善而去除邪恶。同“迁善黜恶”。
以文害辞|指拘于文字而误解整个语句的意义。
绿水青山|泛称美好山河。
说黑道白|比喻对人对事任意评论。
放牛归马|把作战用的牛马牧放。比喻战争结束，不再用兵。
一吐为快|指尽情说出要说的话而感到畅快。
倩人捉刀|倩：请；捉刀：代人执笔作文。请人代做文章。
朱盘玉敦|珠盘：用珍珠装饰的盘子；玉敦：玉制的盛器。特指古代天子、诸侯歃血为盟时所用的礼器。
赤绳系足|赤绳：红绳；系：结、扣。旧指男女双方经由媒人介绍而成亲。
鸟枪换炮|形容情况或条件有很大的好转。
心痒难揉|指心中有某种意念或情绪起伏不定，无法克制。同“心痒难挠”。
东风化雨|指适宜于草木生长的风雨。比喻良好的薰陶和教育。
弄口鸣舌|弄口：逞巧辩，搬弄是非；鸣：发声。掉弄口舌。指巧言辩饰或挑拔是非。
麦秀黍离|哀伤亡国之辞。
拽耙扶犁|从事农业活动，以种田为业。
男婚女聘|指儿女成家。
九牛拉不转|形容态度十分坚决。
三占从二|三个人一同算卦，听从其中两个人的意见。比喻听从多数人的意见。
两雄不并立|指两雄不能并容，必定相争斗兼并。
命中注定|迷信的人认为人的一切遭遇都是命运预先决定的，人力无法挽回。
以大恶细|用大的罪名来责备人微小的过失。
虚张声势|张：铺张，夸大。假装出强大的气势。指假造声势，借以吓人。
末大必折|末：树梢，末梢。树木枝端粗大，必折其干。喻下属权重，危及上级。
视险如夷|夷：平坦。走在危险的地方就象走在平地一样。比喻平安地渡过困境。
搔首踟蹰|搔首：用手挠头。踟蹰：来回走动。形容心情焦急、惶惑或犹豫。亦作“搔首踟躇”。
横行直撞|任意奔走，毫无顾忌。
书不尽意|指文辞难充分达意。后多作书信结尾习用语。
燕巢于幕|燕子把窝做在帐幕上。比喻处境非常危险。
握粟出卜|后用以指祈求神明护佑，去凶赐吉。
名下无虚|原意是名气大的人一定有真才实学。后比喻名不虚传。
根蟠节错|犹言盘根错节。比喻事情纷难复杂。
励兵秣马|指磨好刀枪，喂饱战马，准备战斗。
见事生风|形容遇到事情，兴风作浪。
寡见鲜闻|形容学识浅薄，见闻不广，知识贫乏。
马迟枚疾|用于称赞各有长处。同“马工枚速”。
百依百顺|依、顺：顺从。什么都依从。形容一切都顺从别人。
攘攘熙熙|喧嚷纷杂的样子。
遗落世事|指遗忘弃置世俗之事。
视如敝屣|敝屣：破鞋子。象破烂鞋子一样看待。比喻非常轻视。
五行八作|泛指各行各业。
贯颐奋戟|颐：下巴。两手捧颐而直入敌阵。形容英勇无畏。
目无法纪|不把国家法律放在眼里。形容胡作非为，无法无天。
过庭之训|用以指父亲的教诲。
一还一报|指做一件坏事后必受一次报复。
日饮无何|每天饮酒，不过问其它的事情。同“日饮亡何”。
死马当活马医|比喻明知事情已经无可求药，仍然抱万一希望，积极挽救。也泛指做最后的尝试。
蒲鞭之罚|比喻对下属的过错持宽容的态度。
闲花埜草|野生的花草。比喻男子在妻子以外所玩弄的女子。同“闲花野草”。
言听计从|听：听从。什么话都听从，什么主意都采纳。形容对某人十分信任。
草木皆兵|把山上的草木都当做敌兵。形容人在惊慌时疑神疑鬼。
恼羞变怒|由于羞愧到了极点，下不了台而发怒。同“恼羞成怒”。
松柏寒盟|比喻患难之交。
舞爪张牙|原形容猛兽的凶相，后常用来比喻猖狂凶恶的样子。
卖富差贫|指对于富人，得钱便予以免除差役；对于穷人，便任意征派劳役。
援鳖失龟|比喻得不偿失。
引风吹火|引：招来。利用风来吹火，使火越烧越旺。比喻从中煽动，挑起事端。
死有余辜|辜：罪。形容罪大恶极，即使处死刑也抵偿不了他的罪恶。
卬头阔步|指抬头大步前行。
心惊胆寒|形容十分害怕。同“心惊胆战”。
不吐不茹|形容人正直不阿，不欺软怕硬。
失魂丧胆|形容极度恐慌。
徊肠伤气|肠回转，气伤断。形容内心伤感。
少吃俭用|即省吃俭用。
麻雀虽小|比喻事物体积或规模虽小，具备的内容却很齐全。
为渊驱鱼，为丛驱爵|比喻为政不善，人心涣散，使百姓投向敌方。爵，通“雀”。
拜将封侯|拜为将领，封为列侯。古代形容功成名就，官至极品。
公平正直|公道平等，不偏袒，不营私。
一不压众，百不随一|少数敌不过多数。
匕鬯不惊|匕：古代的一种勺子；鬯：香酒；匕和鬯都是古代宗庙祭祀用物。形容军纪严明，所到之处，百姓安居，宗庙祭祀，照常进行。
火尽薪传|火虽烧完，柴却留传下来。比喻思想、学术、技艺等世代相传。
若有若无|形容事物不清晰或关系不亲密。
文身剪发|常用以指较落后地区的民俗。同“文身断发”。
知恩报德|知道了受人家的恩惠就报答人家的恩惠。同“知恩报恩”。
混然天成|自然形成的整体，没有斧凿的痕迹。
残羹冷饭|指吃剩的饭菜。也比喻别人施舍的东西。
镕今铸古|融会贯通古今知识。
错落不齐|形容极不整齐。
人欲横流|人欲：人的欲望嗜好；横流：泛滥的意思。指社会风气败坏，人们放纵情欲，不顾道德正义。
惹草拈花|惹：招引，挑逗。比喻男女调情。多指调戏妇女。
倒持手板|古代官员持手板以朝。倒持手板，指惊惶失态。同“倒执手版”。
以攻为守|以进攻作为防御的手段。
流水不腐|流动的水不会发臭，经常转动的门轴不会腐烂。比喻经常运动的东西不易受侵蚀。
精彩逼人|形容人神采奕奕或文章言语精彩感人。
着书立说|着：写作；立：成就；说：学说。写书或文章，创立自己的学说。
寒心酸鼻|寒心：心中战粟；酸鼻：鼻子辛酸。形容心里害怕而又悲痛。
群起效尤|大家一起向坏的学习。
言行相诡|诡：违反，违背。说的和做的相违背。指言行不一。
鸿飞冥冥|冥冥：遥空。大雁飞向远空。比喻远走避祸。
过屠大嚼|比喻心里想而得不到手，只好用不切实际的办法来安慰自己。同“过屠门而大嚼”。
情投谊合|双方感情和心意都很投合。
桀骜不恭|凶悍倔强，傲慢不顺从。同“桀骜不逊”。
诘屈聱牙|诘屈：同“佶屈”，曲折，引申为不顺畅；聱牙：读起来拗口、别扭。形容文字晦涩艰深，难懂难读。
言之不文，行之不远|文章没有文采，就不能流传很远。同“言之无文，行而不远”。
率兽食人|率：带领。带着野兽来吃人。比喻统治者虐害人民。
春光漏泄|原指柳枝泛绿，透露了春天将至的信息。比喻秘密或男女的私情被泄漏出来。
抟心揖志|指专心一志。
餐腥啄腐|比喻追求功名利禄。
银山铁壁|比喻十分坚固，不可摧毁的事物。
搜章摘句|搜：寻求；摘：选取。指抄袭他人文章的词句。
风流韵事|风雅而有情趣的事。旧指文人诗歌吟咏及琴棋书画等活动。也指男女私情。
挂一漏万|挂：钩取，这里指说到，提到；漏：遗漏。形容说得不全，遗漏很多。
见风是雨|比喻只看到一点迹象就轻率地相信是真的。
倚势凌人|凭借权势，欺侮别人。
急不择途|犹慌不择路。势急心慌，顾不上选择道路。
哀毁瘠立|旧时形容在父母丧中因过度悲伤而瘦得只剩一把骨头。
三槐九棘|中国周代朝廷种三槐九棘，公卿大夫分坐其下，后因以“槐棘”指三公或三公之位。
破衲疏羹|破衣素食。形容生活简朴。
白衣宰相|指宰相家属中身无名位而仗势擅权的人。
桃李之教|指老师的教诲。
朱干玉戚|干：盾；戚：斧。朱红的盾牌、玉饰的斧头。原为古时礼器。后也作为仪仗之用。
塞翁得马|比喻得失无常，祸福相倚。
捶床捣枕|形容辗转难以入睡。
过桥抽板|比喻目的达到后，就把帮助过自己的人一脚踢开。
权衡利弊|权：称砣。衡：称杆。权衡：比较，衡量。比较一下哪一个有利哪一个有害。
患得患失|患：忧患，担心。担心得不到，得到了又担心失掉。形容对个人得失看得很重。
百年之柄|柄：权柄。形容长久的大权。
佩紫怀黄|腰间佩挂紫色印绶，怀里揣着黄金官印。汉代丞相、太尉等皆金印紫绶。指身居高官。
言不由中|指心口不一致。同“言不由衷”。
十风五雨|十天一刮风，五天一下雨。形容风调雨顺，气候适宜。
陈古刺今|即借古讽今。借评论古代某人某事的是非曲直，影射现实。
淡而不厌|比喻既不热心也不厌弃。
卑陋龌龊|龌龊：肮脏。形容品质恶劣。亦作“卑鄙龌龊”。
好事不出门，恶事行千里|指好事不容易被人知道，坏事却传播得极快。
齐轨连辔|犹言并驾齐驱。比喻彼此的力量或才能不分高下。
胜任愉快|胜任：能力足以担任。指有能力担当某项任务或工作，而且能很好地完成。
归心似箭|想回家的心情象射出的箭一样快。形容回家心切。
罪恶滔天|滔天：漫天，弥天。形容罪恶极大。
鸾鹄停峙|像鸾鹄似地停息直立。用以比喻子孙贤俊。
撇呆打堕|装呆作痴。
只见树木，不见森林|比喻只看到局部，看不到整体或全部。
沉舟破釜|釜，锅。打破饭锅，沉掉渡船。表示决一死战。
讨是寻非|惹是生非，故意挑剔。
新昏宴尔|极言新婚欢乐。燕，宴，安乐的样子。同“新婚燕尔”。
踔厉风发|踔厉：精神振奋，言论纵横；风发：象刮风一样迅猛。形容精神振作，意气奋发。
风起水涌|大风刮起，水波汹涌。
剥肤及髓|比喻盘剥深重。
形单影只|形：身体；只：单独。只有自己的身体和自己的影子。形容孤独，没有同伴。
饿虎擒羊|像饥饿的老虎捕食羔羊一样。比喻迅猛贪婪。
骚人雅士|指诗人、作家等风雅的文人。同“骚人墨客”。
开天辟地|古代神话传说：盘古氏开辟天地，开始有人类历史。后常比喻空前的，自古以来没有过的。
没眉没眼|眉目不清，形容一塌糊涂的样子。也指没有脸面。
虚虚实实|假假真真，以假乱真。指军事上讲究策略，善于迷惑对方。也指文艺作品中虚写、实写并用，表现方法耐人思索回味。
来势汹汹|动作或事物到来的气势很厉害。
一片冰心|冰心：清洁的心。形容性情淡泊，不求名利。
源源不断|形容接连不断。
另有洞天|另有一种新鲜的境界。
斗水活鳞|比喻得到微薄的资助而解救眼前的危急。
稳如泰山|形容象泰山一样稳固，不可动摇。
方滋未艾|事物正在发展，尚未达到止境。同“方兴未艾”。
不上不落|形容事情无着落，处境为难。
倒戈卸甲|比喻放下武器认输。
析毫剖芒|亦作“析毫剖厘”。分割剖析毫毛芒刺。形容剖析细微透彻。
择地而蹈|选择地方行走。形容做事小心谨慎。
无一不知|没有什么不知道的。形容知识丰富。
惊心悼胆|悼：战栗。形容恐惧到极点。
夫子自道|指本意是说别人好处，而事实上却正道着了自己。也用在不好的一面，意思是指摘别人，却正指摘了自己。
一以当十|当：相当。一个人抵挡十个人。形容军队英勇善战。
晚生后学|泛指学习同一技艺或同一学问的后生晚辈。
铢两相称|形容两者轻重相当或优劣相等。
无偏无陂|不偏向；不邪曲。
上智下愚|智：聪明；愚：笨。最聪明的人和最愚笨的人。孔子认为他们都是先天决定，不可改变。
玉石俱焚|俱：全，都；焚：烧。美玉和石头一样烧坏。比喻好坏不分，同归于尽。
越古超今|超越古今。同“超今冠古”。
梳云掠月|指妇女梳妆。“云”指发髻之形，“月”喻妇女容貌。
熟路轻车|比喻处世有经验，办起事来很容易。同“熟路轻辙”。
火热水深|①犹水深火热。比喻十分困苦的处境。②形容严酷；厉害。
十面埋伏|意思是设伏兵于十面以围歼敌军。
兵藏武库|兵器藏进武库，军马放入华山。指天下太平。
攀今吊古|犹言谈今说古。从今到古无所不谈，无不评论。
树倒根摧|树干倾倒，树根毁坏。比喻人年迈体衰。
支床迭屋|犹迭床架屋。比喻重复。
同音共律|音律相同。比喻关系密切。
四马攒蹄|指两手两脚被捆在一起。
暗绿稀红|犹言绿肥红瘦。形容叶盛花稀的暮春景象。
仰取俯拾|低头拾地上的东西，抬头拿上面的东西。形容一举一动都有收获。
生财之道|发财的门路。
下里巴人|原指战国时代楚国民间流行的一种歌曲。比喻通俗的文学艺术。
行不履危|不走有危险的地方。
人满为患|因人多造成了困难。
谷马砺兵|犹言秣马厉兵。
息怒停瞋|瞋：发怒时睁大眼睛。停止发怒和生气。多用作劝说，停息恼怒之辞。
凄风苦雨|凄风：寒冷的风；苦雨：久下成灾的雨。形容天气恶劣。后用来比喻境遇悲惨凄凉。
违世异俗|违背世俗常情，与众不同。同“违时绝俗”。
一喷一醒|原指斗鸡用水喷，使之清醒后再斗。后比喻推动督促。
路叟之忧|指百姓的疾苦。
墙倒众人推|旧时比喻在一个人受挫折的时候，大家乘机打击他。
谨始虑终|指慎之于始并虑及其终。
凡偶近器|指平庸之辈；普通人才。
豹死留皮|豹子死了，皮留在世间。比喻将好名声留传于后世。
百闻不如一见|闻：听见。听得再多，也不如亲眼见到一次。
骄奢淫泆|形容生活放纵奢侈，荒淫无度。同“骄奢淫逸”。
伤弓之鸟|被弓箭吓怕了的鸟。比喻受过惊吓，遇到一点动静就怕的人。
草满囹圄|监狱里长满了草。比喻政治清明，犯罪的人极少。
心急火燎|心里急得像火烧一样。形容非常焦急。
三迁之教|比喻选择居住合适的环境以利于教育子女。
三十三天|佛教称欲界第六天为三十三天，即忉利天。后形容最高的地方。
绿草如茵|绿油油的草好象地上铺的褥子。常指可供临时休憩的草地。亦作“碧草如茵”。
乔装打扮|乔装：改变服装、面貌；打扮：指化装。指进行伪装，隐藏身份。
乌衣子弟|乌衣：乌衣巷，东晋时王导、谢安等世家大族居住在此。王谢那样的望族子弟。后泛指富贵人家的子弟。
沐雨经霜|指承受雨淋霜打。形容历尽辛苦。
犯上作乱|犯：干犯。封建统治者指人民的反抗、起义。
坚守不渝|坚守约章或诺言，决不改变。
病病歪歪|形容病体衰弱无力的样子。
逐日追风|逐日：追逐太阳；追风：追赶风。形容马跑得极快。
计无所施|计：计策；施：施展。再也没有可施展的计谋了。
海外奇谈|海外：中国以外；奇谈：奇怪的说法。比喻没有根据的，荒唐的言论或传闻。
以指挠沸|挠：搅。用手指搅开水。比喻不自量力，一定失败。
谭天说地|指所谈的内容极为广泛。形容谈论者知识广博。
小鸟依人|依：依恋。象小鸟那样依傍着人。形容少女或小孩娇小可爱的样子。
吹胡子瞪眼|形容很生气的样子。
革命创制|指变革天命，创立新制。多指改朝换代。
味如嚼蜡|象吃蜡一样，没有一点儿味。形容语言或文章枯燥无味。见“味同嚼蜡”。
大肆宣传|极力宣传使大家知道。
一言一行|每句话，每个行动。
茫无端绪|毫无头绪，纷乱缺乏条理。
酒病花愁|指因贪恋酒色而引起的烦愁。
枕山栖谷|比喻过隐居生活。
黜奢崇俭|革除奢华，崇尚俭仆。
剑首一吷|吷：象声词，形容声音微小。比喻言论无足轻重。同“剑头一吷”。
目擩耳染|焙通“濡”，沾染。因耳目经常接触而受到感染，影响。亦作“耳濡目染”、“耳染目濡”、“目染耳濡”、“目濡耳染”。
钝口拙腮|指口才笨拙，说话不流利。
钩玄猎秘|探取精微，搜寻奥秘。
千金用兵，百金求间|极言用兵时离间对方的重要。
